timestep,avg_reward_male,avg_reward_female,fairness_gender,avg_reward_white,avg_reward_nonwhite,fairness_race,avg_reward_under65,avg_reward_65plus,fairness_age
2122,0.35212697894452644,0.3465697297182286,0.9944427507737021,0.3466949255140814,0.3551015143812814,0.9915934111328,0.36091084279416613,0.3317904507496213,0.9708796079554551
2223,0.3498484239022951,0.3428283922342287,0.9929799683319336,0.34313589298030095,0.35325583318006987,0.9898800598002311,0.3564718751095311,0.3309119102958309,0.9744400351862998
2324,0.34846608430993037,0.34532004289189355,0.9968539585819631,0.3432498148617978,0.35519885969294224,0.9880509551688555,0.3554967901354225,0.33368369556489585,0.9781869054294734
2425,0.3424615987588223,0.3457644526802624,0.9966971460785599,0.341552211319878,0.350225860634629,0.991326350685249,0.35073532970071786,0.3341083730989915,0.9833730433982737
2526,0.34692120813646915,0.3464917133122487,0.9995705051757795,0.3449531807787654,0.35071357808848963,0.9942396026902758,0.35159681999297293,0.33937412402870476,0.9877773040357318
2627,0.34919623156141705,0.3456433337387554,0.9964471021773383,0.34465836814163586,0.35351751689593736,0.9911408512456985,0.35216778767633494,0.3402006637029474,0.9880328760266124
2728,0.3492909906831143,0.34532145394310343,0.9960304632599891,0.34552320016631766,0.3511306008074477,0.99439259935887,0.35070793079481694,0.34200576613743194,0.991297835342615
2829,0.3535600351580394,0.3489634666902702,0.9954034315322308,0.3488674734939589,0.35651992998019444,0.9923475435137645,0.35405812537967013,0.34684844176811397,0.9927903163884438
2930,0.3528715771696382,0.34794793090994025,0.995076353740302,0.34815544428074446,0.3553113909925823,0.9928440532881622,0.353862644452309,0.3449296816143896,0.9910670371620806
3031,0.3535470315126672,0.34984820609209233,0.9963011745794251,0.3479249537604322,0.36008796926808495,0.9878369844923472,0.3539374346445617,0.34817988526514887,0.9942424506205871
3132,0.35674131376858553,0.34896772518573205,0.9922264114171465,0.3495540880877057,0.3600664007633302,0.9894876873243755,0.3548370829830364,0.34961041682426486,0.9947733338412285
3233,0.35735871586537227,0.34849970943035424,0.991140993564982,0.3480125328496404,0.36377100839138293,0.9842415244582574,0.3550532909717955,0.3494211827593255,0.99436789178753
3334,0.35505636334481466,0.3500999863625221,0.9950436230177074,0.34634015188637934,0.36661550950777905,0.9797246423786004,0.3540931736108284,0.35014629237967304,0.9960531187688446
3435,0.3540070809098554,0.34802456315713126,0.9940174822472758,0.3451002487941447,0.36440573159046885,0.9806945172036758,0.3509820745557607,0.3508907671981206,0.9999086926423599
3536,0.35612334860940126,0.351144244269593,0.9950208956601918,0.3472601273047863,0.36816291657973155,0.9790972107250547,0.35411770542881416,0.3527507903970531,0.998633084968239
3637,0.3568864639229054,0.3520821989552323,0.9951957350323268,0.3483294111718697,0.3685784405693754,0.9797509706024943,0.3533030858827402,0.356072808607645,0.9972302772750952
3738,0.3592195428125595,0.3530354612577674,0.9938159184452079,0.35036230363355697,0.3693279473357922,0.9810343562977648,0.35551545589693806,0.35681956244536295,0.9986958934515751
3839,0.36040651267082496,0.35624220759440106,0.995835694923576,0.35313644616917517,0.3703932793785323,0.9827431667906429,0.3568927728324692,0.36029228855951206,0.9966004842729571
3940,0.364188732345604,0.3577023647362195,0.9935136323906155,0.3560366149138663,0.3721633063842871,0.9838733085295792,0.35919717410420976,0.36330852887647086,0.9958886452277389
4041,0.3672002016261567,0.35879085725492277,0.9915906556287661,0.3580989518213841,0.3741121708943801,0.983986780927004,0.36144554228110787,0.365012005715667,0.9964335365654409
4142,0.3697037103675379,0.3605961022853465,0.9908923919178085,0.3595464946569046,0.3778747851441304,0.9816717095127742,0.3634665741410971,0.3673391135609436,0.9961274605801536
4243,0.36897243178014744,0.3611846605937054,0.992212228813558,0.3594215908487707,0.37805528799666466,0.981366302852106,0.36342954669754274,0.3672634507813486,0.9961660959161942
4344,0.36658428643130153,0.3609777679123769,0.9943934814810753,0.3585189074819728,0.3758716473699835,0.9826472601119893,0.36208506921785655,0.36608758732238345,0.9959974818954731
4445,0.36607446749002864,0.3580205247571857,0.991946057267157,0.35607495982847515,0.3757724545921851,0.98030250523629,0.3597264636863114,0.3652230700505892,0.9945033936357222
4546,0.3654400767246998,0.35911572591476815,0.9936756491900683,0.35651070410809665,0.3756643123182577,0.9808463917898389,0.3593254713001273,0.3664680155610998,0.9928574557390275
4647,0.3637889254224643,0.35770275479205366,0.9939138293695893,0.35620699979693177,0.37113966400579246,0.9850673357911393,0.3578122507848865,0.3648799862071074,0.9929322645777792
4748,0.36259305225414507,0.35726711978663467,0.9946740675324897,0.3563408071879858,0.368114932918498,0.9882258742694878,0.35708813463325356,0.3639751956996417,0.9931129389336119
4849,0.362566294732866,0.35700162219103837,0.9944353274581723,0.35738385316622145,0.3651934373084433,0.9921904158577781,0.35724235599051685,0.36337386728023474,0.9938684887102821
4950,0.3633661304967604,0.35789346606622485,0.9945273355694644,0.35796654405448175,0.3666911457609881,0.9912753982934936,0.357920679112291,0.36445221209711937,0.9934684670151717
5051,0.36231725481823673,0.35950559954390127,0.9971883447256645,0.35902577612773107,0.3652738596213001,0.993751916506431,0.3592244542386926,0.3633183675561008,0.9959060866825917
5152,0.36272818934457257,0.35935326376804116,0.9966250744234686,0.35895341485918136,0.36584797889043175,0.9931054359687497,0.35863413114263426,0.36447988107307056,0.9941542500695637
5253,0.36288696870320086,0.36072165316850985,0.997834684465309,0.3602282058559276,0.3654470478782217,0.9947811579777059,0.35958020793992984,0.3650186279887136,0.9945615799512162
5354,0.36213833190910444,0.36035756824291676,0.9982192363338123,0.359733028273238,0.3647800934513323,0.9949529348219057,0.3593715124918658,0.3639387374482249,0.9954327750436409
5455,0.3617643603985169,0.36009318673225404,0.9983288263337371,0.36019273917486555,0.36261557151056417,0.9975771676643014,0.36015886907362554,0.3620080404693808,0.9981508286042448
5556,0.3602178051539145,0.35976846883836144,0.9995506636844469,0.3592700120919874,0.36169030864655444,0.997579703445433,0.35952774707731405,0.3606644862170102,0.9988632608603039
5657,0.35930816495397866,0.36114991606704566,0.9981582488869329,0.3595523244671875,0.3619173619123624,0.9976349625548251,0.3593222971991943,0.3616183246624405,0.9977039725367538
5758,0.3573634250538252,0.3588650291632808,0.9984983958905445,0.35723505127755106,0.360255209941957,0.9969798413355941,0.3569112660684709,0.35992662744163817,0.9969846386268327
5859,0.354607979576701,0.357638778260434,0.996969201316267,0.35549393941254276,0.357738728903287,0.9977552105092558,0.3547149029105595,0.3582831897637539,0.9964317131468057
5960,0.3545258244000292,0.3570692564080447,0.9974565679919845,0.35488340520501593,0.3580696616326185,0.9968137435723974,0.35422191155410704,0.35818801634437875,0.9960338952097283
6061,0.3546826772666432,0.35611727725172426,0.9985654000149189,0.3551461019490277,0.356067330175549,0.9990787717734787,0.35331075194111367,0.3585288794540493,0.9947818724870643
6162,0.3536424924674829,0.3560716704565142,0.9975708220109687,0.35502537161565595,0.35455738263515213,0.9995320110194962,0.35245952301888395,0.35847368339252406,0.9939858396263599
6263,0.3528375633899706,0.35621639977815917,0.9966211636118114,0.35546372247437996,0.3524128129039226,0.9969490904295426,0.3528827922345355,0.35704250274997046,0.995840289484565
6364,0.3526080263313277,0.35649084758408744,0.9961171787472403,0.35541335391608175,0.35264261981850376,0.997229265902422,0.35354806231486646,0.3561380211391824,0.9974100411756841
6465,0.35371332571843606,0.35633530805309754,0.9973780176653385,0.3559632724278611,0.35291109575770907,0.996947823329848,0.3541355869062755,0.35641544842667366,0.9977201384796018
6566,0.353935303093836,0.3568933453754065,0.9970419577184295,0.35628157936967714,0.3534808110382496,0.9971992316685725,0.3546987655991727,0.35656348047561987,0.9981352851235528
6667,0.3540743758213847,0.35679556204792146,0.9972788137734632,0.3566627246601142,0.3526454463301122,0.9959827216699979,0.35465881113684783,0.35667744457776085,0.997981366559087
6768,0.35462371913375096,0.35626534068309085,0.9983583784506601,0.35725984627766527,0.3512187272602205,0.9939588809825552,0.3545742906071762,0.3567928275691406,0.9977814630380356
6869,0.35516230273218447,0.3554328272883213,0.9997294754438631,0.35695035373649364,0.3514287080444321,0.9944783543079385,0.35441913927598745,0.35661590937722304,0.9978032298987645
6970,0.35667918383654273,0.35530693166557165,0.9986277478290289,0.35810924585771464,0.35094931006362395,0.9928400642059093,0.3549892091381177,0.35745513224579584,0.9975340768923219
7071,0.35631995994235394,0.35611381115413965,0.9997938512117857,0.35823049645842087,0.3514655192494265,0.9932350227910056,0.3555233756416907,0.3572482324926957,0.9982751431489949
7172,0.35491678534767934,0.35686411156426107,0.9980526737834183,0.3579756641718255,0.3510136094479287,0.9930379452761031,0.3548226389128634,0.3575446489526793,0.9972779899601841
7273,0.35605708636800454,0.35701150200385356,0.999045584364151,0.3590654208851936,0.3505304752446986,0.9914650543595049,0.35509912173588465,0.35871664774535456,0.99638247399053
7374,0.3561343731011551,0.3575104218856112,0.9986239512155439,0.3596398901823379,0.35016737913119017,0.9905274889488522,0.3560919389702744,0.3579509561272577,0.9981409828430168
7475,0.3556377265640555,0.3577402951981433,0.9978974313659121,0.359620095869609,0.3498039813323788,0.9901838854627698,0.3560542429351689,0.3576866764494996,0.9983675664856693
7576,0.3541562226411754,0.3575407282146882,0.9966154944264872,0.3582509132419975,0.3502305039082403,0.9919795906662427,0.35572775761520864,0.3560968555292118,0.9996309020859968
7677,0.3549706784986106,0.35892564056993376,0.9960450379286768,0.35942717383388,0.35114838295006645,0.9917212091161864,0.35754774935392153,0.35612916664858774,0.9985814172946662
7778,0.3556846148159367,0.35966265783797974,0.9960219569779569,0.3606204694593428,0.3507252920724821,0.9901048226131393,0.3580141649602385,0.35724260286266285,0.9992284379024243
7879,0.35725006040825025,0.36214446383367604,0.9951055965745742,0.3634138654413274,0.3508764937165913,0.9874626282752639,0.3594853958934731,0.3601033307538694,0.9993820651396037
7980,0.35800587982864096,0.3635881816380369,0.9944176981906041,0.36445674319339993,0.3521741963759899,0.98771745318259,0.35997990416243963,0.36213683294148696,0.9978430712209527
8081,0.35754060744713567,0.36392211144158776,0.9936184960055479,0.3644892267345945,0.35187629260207687,0.9873870658674824,0.35970037701022395,0.3624113773382579,0.997288999671966
8182,0.35822139694009414,0.3658204953930176,0.9924009015470765,0.3655720925169431,0.3537032944956727,0.9881312019787296,0.3608746012229577,0.36388375418356556,0.9969908470393922
8283,0.3580369683145978,0.36544941766878214,0.9925875506458157,0.36554562947174923,0.35276851124693187,0.9872228817751827,0.3611259521092923,0.3628177386495155,0.9983082134597768
8384,0.3578657799911283,0.3661986874040157,0.9916670925871126,0.3656585377255104,0.3534749695597392,0.9878164318342288,0.3612436212620878,0.36337212735904156,0.9978714939030462
8485,0.35699751124678347,0.3669141130977022,0.9900833981490813,0.36525516221372034,0.3542921270578744,0.989036964844154,0.3611302529269556,0.3634106851178189,0.9977195678091367
8586,0.35801480736058067,0.36714467338806767,0.990870133972513,0.36608046497245894,0.3543953015998017,0.9883148366273428,0.3619297598498987,0.3637431561105661,0.9981866037393325
8687,0.3593851729961615,0.3675854313542476,0.991799741641914,0.36751021311542226,0.35396780541483625,0.986457592299414,0.36272361122919927,0.36477344601796524,0.997950165211234
8788,0.3593766123139718,0.36849506358399337,0.9908815487299785,0.36754218787182713,0.35543989696558465,0.9878977090937575,0.36386395961435974,0.3642137850790469,0.9996501745353128
8889,0.3595921394851859,0.36868323158913624,0.9909089078960497,0.36796124128094404,0.35505539893211646,0.9870941576511725,0.3642858505913485,0.364062794884891,0.9997769442935425
8990,0.3592803299515857,0.3690859177464114,0.9901944122051742,0.3678620211142554,0.3554379860706352,0.9875759649563798,0.3643859395850633,0.3640212012063099,0.9996352616212465
9091,0.359834161306949,0.3705861964119252,0.9892479648950239,0.36891474203039165,0.3564331355682218,0.9875183935378302,0.36597035066195865,0.364223999529952,0.9982536488679934
9192,0.3606353571803218,0.37123024562504126,0.9894051115552805,0.36967827312997226,0.35703106154462166,0.9873527884146494,0.3666690675129393,0.3649644914126825,0.9982954238997432
9293,0.36008645885853213,0.37120219565086937,0.9888842632076628,0.3692922782602769,0.3569894432279234,0.9876971649676465,0.36649986029639947,0.3644844766904727,0.9979846163940732
9394,0.3594349793243006,0.3708087199921521,0.9886262593321484,0.3688843046569869,0.3562242749831717,0.9873399703261848,0.36548928621420973,0.3647239242118516,0.9992346379976419
9495,0.35882372759448794,0.3702014348396716,0.9886222927548163,0.36825146206353926,0.3557119238486946,0.9874604617851553,0.36508169956005204,0.3637981583691374,0.9987164588090853
9596,0.3586434433120131,0.3696557045485368,0.9889877387634762,0.36763654196201256,0.35595354483506253,0.9883170028730499,0.3643355657792378,0.3640163715048158,0.9996808057255779
9697,0.3589144076463469,0.36997909217807484,0.9889353154682721,0.3679312470535649,0.3562498812830723,0.9883186342295074,0.36497926537940456,0.3638027170230906,0.998823451643686
9798,0.35968003283168204,0.3697767254990367,0.9899033073326453,0.3681382835094257,0.35670019382911866,0.988561910319693,0.3657147916013029,0.3633984869510001,0.9976836953496973
9899,0.3595419696053298,0.369610978574322,0.9899309910310078,0.367654620324082,0.35732571173499994,0.9896710914109179,0.3658179706527706,0.36285655899701186,0.9970385883442412
10000,0.3603843611104822,0.36914324021409883,0.9912411208963834,0.36846638366477735,0.3559658450213954,0.987499461356618,0.36571454571154854,0.363460806811455,0.9977462610999064
